Level|Constituency|Ward_Name|Number_of_Households|Total_Population|Male_Population|Female_Population|Poverty_Level_Status
District|Mufulira|Mufulira District|30065|200182|||
Constituency|Kankoyo|Kankoyo Constituency|8193|38835|||
Ward|Kankoyo|John Kampengele|1126|5396|||
Ward|Kankoyo|Buntungwa|787|4816|||
Ward|Kankoyo|Kangwa Nsuluka|249|4934|||
Ward|Kankoyo|Luansobe|1333|5643|||
Ward|Kankoyo|Butondo|1324|3179|||
Ward|Kankoyo|Kwacha|860|3871|||
Ward|Kankoyo|Fibusa|1029|5353|||
Ward|Kankoyo|Mpelembe|1485|5643|||
Constituency|Kantanshi|Kantanshi Constituency|10117|55728|||
Ward|Kantanshi|Minambe|712|5198|||
Ward|Kantanshi|Murundu|1521|7401|||
Ward|Kantanshi|Maina Soko|979|3922|||
Ward|Kantanshi|Bwafwano|761|4364|||
