record_id|year|data_type|category|revenue_source|budget_amount|budget_status|description|source_title|source_url|source_type
BR2023_0002|2023|Revenue|Local Taxes / Rates|Local taxes/rates|1.0|Revised Budget|"01 | Local taxes/rates"|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|Annual Budget
BR2023_0003|2023|Revenue|Local Taxes / Rates|Industrial/Commercial|8081551.0|Revised Budget|"002 | Industrial/Commercial | 7,469,086 | 8,081,551"|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|Annual Budget
BR2023_0004|2023|Revenue|Local Taxes / Rates|Mining|30471258.0|Revised Budget|"003 | Mining/Plant | 28,161,976 | 30,471,258"|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|Annual Budget
BR2023_0005|2023|Revenue|Local Taxes / Rates||50342746.0|Revised Budget|"SubItem Total | 43,362,061 | 46,917,750 | 50,342,746"|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|Annual Budget
BR2023_0006|2023|Revenue|Local Taxes / Rates|Levy|220593.0|Revised Budget|"001 | Personal levy | 190,005 | 205,585 | 220,593"|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|Annual Budget
BR2023_0007|2023|Revenue|Local Taxes / Rates||220593.0|Revised Budget|"SubItem Total | 190,005 | 205,585 | 220,593"|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|Annual Budget
BR2023_0009|2023|Revenue|Fees and Charges|Fees and Charges|2.0|Revised Budget|"02 | Fees and Charges"|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|Annual Budget
BR2023_0010|2023|Revenue|Fees and Charges|Consent Fees|5.688834481491679|Revised Budget|"001 | Consent fees | 49,000 | 53,018 | 56,888 34,481 491,678 640,284 19,375 643,297 296,033 129,566 17,299 699,379 813 1,122,540 40,653 527,041 48,587 63,274 4,644 51,316 15,813 199,690 32,043 116,099 198,529 179,372 204,566 592,104 14,280 5,480,097"|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|Annual Budget
BR2023_0011|2023|Revenue|Fees and Charges|Survey Fees|32135.0|Revised Budget|"002 | Survey fees | 29,700 | 32,135"|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|Annual Budget
BR2023_0012|2023|Revenue|Fees and Charges|Rent|635123.0|Revised Budget|"007 | Rentals/lease of Council’s properties | 586,990 | 635,123"|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|Annual Budget
BR2023_0013|2023|Revenue|Fees and Charges|Rent|120751.0|Revised Budget|"009 | Rentals from houses | 111,600 | 120,751"|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|Annual Budget
BR2023_0014|2023|Revenue|Fees and Charges|Market Fees|1046170.0|Revised Budget|"013 | Market fees | 966,885 | 1,046,170"|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|Annual Budget
BR2023_0015|2023|Revenue|Fees and Charges|Parking Fees|37887.0|Revised Budget|"014 | Parking fees | 35,016 | 37,887"|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|Annual Budget
BR2023_0016|2023|Revenue|Fees and Charges|Bus Station Fees|491185.0|Revised Budget|"016 | Bus station fees | 453,960 | 491,185"|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|Annual Budget
BR2023_0017|2023|Revenue|Fees and Charges|Levy|185022.0|Revised Budget|"053 | Communication mast levy | 171,000 | 185,022"|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|Annual Budget
BR2023_0018|2023|Revenue|Fees and Charges|Lease of council transport|190648.0|Revised Budget|"062 | Lease of council transport | 176,200 | 190,648"|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|Annual Budget
BR2023_0019|2023|Revenue|Fees and Charges|Other fees and charges|5132046.0|Revised Budget|"099 | Other fees and charges | 4,770,664 | 5,132,046"|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|Annual Budget
BR2023_0020|2023|Revenue|Fees and Charges||11919739.0|Revised Budget|"SubItem Total | 10,350,231 | 11,169,139 | 11,919,739"|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|Annual Budget
BR2023_0022|2023|Revenue|Fees and Charges|Licenses|3.0|Revised Budget|"03 | Licenses"|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|Annual Budget
BR2023_0023|2023|Revenue|Fees and Charges|Liquor licence|8.35918707441273|Revised Budget|"001 | Liquor licence | 72,000 | 77,904 | 83,591 87,074 412,731 212,809 242,810"|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|Annual Budget
BR2023_0024|2023|Revenue|Fees and Charges|Firearm and ammunition licence|81150.0|Revised Budget|"002 | Firearm and ammunition licence | 75,000 | 81,150"|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|Annual Budget
BR2023_0025|2023|Revenue|Fees and Charges|Ocupancy licence|384651.0|Revised Budget|"055 | Ocupancy licence | 355,500 | 384,651"|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|Annual Budget
BR2023_0026|2023|Revenue|Fees and Charges|Restaurant licence|198331.0|Revised Budget|"061 | Restaurant licence | 183,300 | 198,331"|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|Annual Budget
BR2023_0027|2023|Revenue|Fees and Charges|Other licences|234669.0|Revised Budget|"099 | Other licences | 226,100 | 234,669"|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|Annual Budget
BR2023_0028|2023|Revenue|Fees and Charges||1039014.0|Revised Budget|"SubItem Total | 911,900 | 976,705 | 1,039,014"|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|Annual Budget
BR2023_0029|2023|Revenue|Fees and Charges|Levies|4.0|Revised Budget|"04 | Levies"|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|Annual Budget
BR2023_0030|2023|Revenue|Fees and Charges|Levy|2458971044887.0|Revised Budget|"004 | Pole levy | 211,800 | 229,168 | 245,897 1,044,887"|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|Annual Budget
BR2023_0031|2023|Revenue|Fees and Charges|Levy|973800.0|Revised Budget|"010 | Business Levy | 900,000 | 973,800"|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|Annual Budget
BR2023_0032|2023|Revenue|Fees and Charges||1290784.0|Revised Budget|"SubItem Total | 1,111,800 | 1,202,968 | 1,290,784"|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|Annual Budget
BR2023_0033|2023|Revenue|Fees and Charges|Permits|5.0|Revised Budget|"05 | Permits"|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|Annual Budget
BR2023_0034|2023|Revenue|Fees and Charges|Health permits|6.723272205938108|Revised Budget|"001 | Health permits | 579,100 | 626,586 | 672,327 22,059 381,082 1,073,854 197,217"|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|Annual Budget
BR2023_0035|2023|Revenue|Fees and Charges|Nursery , pre school permits|20558.0|Revised Budget|"007 | Nursery , pre school permits | 19,000 | 20,558"|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|Annual Budget
BR2023_0036|2023|Revenue|Fees and Charges|Burial permits and grave sites|355156.0|Revised Budget|"008 | Burial permits and grave sites | 328,240 | 355,156"|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|Annual Budget
BR2023_0037|2023|Revenue|Fees and Charges|Other permits|183940.0|Revised Budget|"099 | Other permits | 170,000 | 183,940"|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|Annual Budget
BR2023_0038|2023|Revenue|Fees and Charges||2346539.0|Revised Budget|"SubItem Total | 2,021,290 | 2,187,036 | 2,346,539"|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|Annual Budget
BR2023_0039|2023|Revenue|Fees and Charges|Premium Plot – Commercial|357060.0|Revised Budget|"004 | Premium Plot – Commercial | 330,000 | 357,060"|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|Annual Budget
BR2023_0040|2023|Revenue|Fees and Charges||3286751.0|Revised Budget|"SubItem Total | 2,831,000 | 3,063,142 | 3,286,751"|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|Annual Budget
BR2023_0041|2023|Revenue|Grants|Rent|13373409.0|Revised Budget|"003 | Recurrent Grant | 11,519,010 | 12,463,569 | 13,373,409"|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|Annual Budget
BR2023_0042|2023|Revenue|Grants||13373409.0|Revised Budget|"SubItem Total | 11,519,010 | 12,463,569 | 13,373,409"|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|Annual Budget
BR2023_0044|2023|Revenue|Grants||98567711.0|Revised Budget|"SubItem Total | 84,900,000 | 91,861,800 | 98,567,711"|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|Annual Budget
BR2023_0045|2023|Budget|Grants|Code|2023.0|Approved Budget|"Code | Programme | 2021 Approved Budget(K) | 2022 Approved Budget(K) | 2023 Budget(K) Estimates"|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|Annual Budget
BR2023_0046|2023|Budget|Grants|No|2023.0|Approved Budget|"No | ECONOMIC CLASSIFICATION | 2021 APPROVED BUDGET (K) | 2022 APPROVED BUDGET (K) | 2023 BUDGET ESTIMATE (K)"|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|Annual Budget
BR2023_0047|2023|Budget|Personal Emoluments|PROGRAMME/SUB-PROGRAMME|2023.0|Budget Estimate|"PROGRAMME/SUB-PROGRAMME | 2021 BUDGET | 2022 BUDGET | 2023 BUDGET ESTIMATE"|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|Annual Budget
BR2023_0048|2023|Revenue|Expenditure|031 Street Lighting 7 Recreation Culture and Religion 039 Library Services 042 Sports Promotion 8 Education and Skills Development 005 Early Childhood Education 010 Adult Literacy 10 Public Order and Safety 014 Building Regulations 018 Community Policing 041 Fire Protection Services 11 Management and Support Services 001 (cid:9)Human Resource and Administration 009 Executive Management 016 (cid:9)Procurement 028 (cid:9)Auditing 035 (cid:9)Accounting 036 Legal 064 Revenue Collection 066 (cid:9)Revenue Reporting 12 Resource Mobilisation and Management 067 Revenue Mobilisation 068 Revenue Enhancement 069 Revenue Management|1.6330212131611532|Approved Budget|"031 Street Lighting 7 Recreation Culture and Religion 039 Library Services 042 Sports Promotion 8 Education and Skills Development 005 Early Childhood Education 010 Adult Literacy 10 Public Order and Safety 014 Building Regulations 018 Community Policing 041 Fire Protection Services 11 Management and Support Services 001 (cid:9)Human Resource and Administration 009 Executive Management 016 (cid:9)Procurement 028 (cid:9)Auditing 035 (cid:9)Accounting 036 Legal 064 Revenue Collection 066 (cid:9)Revenue Reporting 12 Resource Mobilisation and Management 067 Revenue Mobilisation 068 Revenue Enhancement 069 Revenue Management | - - - - - - - - - - - - - - - - - - (0) - - - - - | - | 512,920 2,143,931 54,130 2,089,801 348,986 128,516 220,470 1,903,334 522,660 178,420 1,202,254 47,259,004 24,285,672 3,064,430 790,197 581,936 14,776,889 3,108,596 (0) 651,285 5,748,464 2,460,150 1,896,384 1,391,930 | - | 1,633,021 2,131,611 533,050 1,598,561 233,620 68,660 164,960 1,683,722 343,400 182,360 1,157,962 44,568,645 30,721,773 2,266,568 645,657 387,061 7,259,115 2,534,711 300,000 453,761 3,817,257 1,411,624 1,425,283 980,350"|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|Annual Budget
BR2023_0049|2023|Budget|Expenditure|ECONOMIC CLASSIFICATION|2023.0|Actual|"ECONOMIC CLASSIFICATION | 2021 BUDGET | 2022 BUDGET | 2023 BUDGET"|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|Annual Budget
BR2023_0050|2023|Budget|Goods and Services|02 Use of Goods and Services 00 General Budget Item|8490000084900000.0|Approved Budget|"02 Use of Goods and Services 00 General Budget Item | Use of Goods and Services | - | - | 77,100,000 77,100,000 | - - | 84,900,000 84,900,000"|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|Annual Budget
BR2023_0051|2023|Budget|Goods and Services|ECONOMIC CLASSIFICATION|2023.0|Actual|"ECONOMIC CLASSIFICATION | 2021 BUDGET | 2022 BUDGET | 2023 BUDGET"|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|Annual Budget
BR2023_0052|2023|Expenditure|Expenditure|02 Use of Goods and Services 00 General Budget Item 04 Assets 01 Non-Financial Assets (Capital Expenditure)|1.8869601886960472|Approved Budget|"02 Use of Goods and Services 00 General Budget Item 04 Assets 01 Non-Financial Assets (Capital Expenditure) | Use of Goods and Services | - | - | 2,107,805 2,107,805 285,200 285,200 | - - - | 1,886,960 1,886,960 47,200 47,200"|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|Annual Budget
BR2023_0053|2023|Expenditure|Expenditure|01 Personal Emoluments 01 Salaries and Wages 02 Use of Goods and Services 00 General Budget Item 04 Assets 01 Non-Financial Assets (Capital Expenditure)|6.668006668009819|Approved Budget|"01 Personal Emoluments 01 Salaries and Wages 02 Use of Goods and Services 00 General Budget Item 04 Assets 01 Non-Financial Assets (Capital Expenditure) | Personal Emoluments | - - - | - | 666,800 666,800 981,850 981,850 435,000 435,000 | - | 666,800 666,800 419,895 419,895 - -"|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|Annual Budget
