Sector|Main_Objective|Specific_Objective_or_Program|Project_Description|Cost_ZMW|Proposed_Source_of_Funds|Location|Ward|Responsible_Agency|Implementation_Period
Water And Sanitation||To increase number of water points in peri urban areas in the next ten years||150000000.0|GRZ, DONER AND CDF|Mufulira|All wards|Water needs assessments, Aquifer exploration and mapping|2023-2032
Water And Sanitation||To increase water storage||50500.0|GRZ, DONER AND CDF|Mufulira|Kafue|Dams’ assessments, plan and design|2023-2032
Water And Sanitation||To reduce vandalism of water points and network||50000.0|GRZ, DONER AND CDF|Mufulira|All peri urban wards in all the 3|Hold quarterly community sensitization meetings|2023-2032
Water And Sanitation||CLTS|MDGI|122545.5|GRZ, DONER AND CDF|Mufulira|Kangwa Nsuluka, Luansobe & Bwananyina|MOH|2023-2032
Water And Sanitation||CLTS|MDGI|179124.0|GRZ, DONER AND CDF|Mufulira|Kangwa Nsuluka, Luansobe & Bwananyina|MOH|2023-2032
Water And Sanitation||CLTS|MDGI|142560.0|GRZ, DONER AND CDF|Mufulira|Kangwa Nsuluka, Luansobe & Bwananyina|MOH|2023-2032
Water And Sanitation||CLTS|MDGI|384975.0|GRZ, DONER AND CDF|Mufulira|Mutundu, Mainasoko, Bwafwano & Murundu|MOH|2023-2032
Water And Sanitation||Quality water monitoring from boreholes|RWSSP|198000.0|GRZ, DONER AND CDF|Mufulira|Luansobe, Kangwa Nsuluka, Kalukanya, Kamuchanga , Murundu and Mokambo|MOH|2023-2032
Water And Sanitation||Commemora tion of World Hand Washing Day|RWSSP|225000.0|GRZ, DONER AND CDF|Mufulira|Bwananyina|MOH|2023-2032
Water And Sanitation||Commemora tion of World Toilet Day|RWSSP|225000.0|GRZ, DONER AND CDF|Mufulira|Kangwa Nsuluka|MOH|2023-2032
Water And Sanitation||Commemora tion World Water Day|RWSSP|225000.0|GRZ, DONER AND CDF|Mufulira|Town Centre|MOH|2023-2032
Water And Sanitation||||15000.0|GRZ/Donors|Butondo, Kafue and Kangwena|District-wide|MOH|2023-2032
Water And Sanitation||comments||4916051.76|cost (ZMK)|District-wide|District-wide|MOH|2023-2032
Water And Sanitation||1. Enhance constant monitoring and control framework for residual chlorine 2. Operationali||2500000.0|1. In house 2. European Investment bank 3. Agency Française de Development (AFD).|District-wide|District-wide|MOH|2023-2032
Water And Sanitation||Engaging SMEs to apply for CDF Loans and Empowerments||4916051.76|Local Authority, CEEC and MSME|District-wide|District-wide|MOH|2023-2032
Mining, Commerce, Trade & Industrial Development||Solar Energy use demonstrations, Exhibitions, Awareness campaigns and Promotions||10000000.0|Ministry of Energy, MLGRD and CDF|District-wide|District-wide|MOH|2023-2032
Public Health, Solid Waste Management & Sanitation||Maternal Healthcar e||119424.0|GRZ, DONER AND CDF|District-wide|District-wide|MOH|2023-2032
Public Health, Solid Waste Management & Sanitation||strengthe n public health||66200.0|GRZ|District-wide|District-wide|MOH|2023-2032
Public Health, Solid Waste Management & Sanitation||||66200.0|GRZ|District-wide|District-wide|MOH|2023-2032
Public Health, Solid Waste Management & Sanitation||||60250.0|GRZ|District-wide|District-wide|MOH|2023-2032
Public Health, Solid Waste Management & Sanitation||equipment and transport procurement and maintenance||825000.0|GRZ|District-wide|District-wide|MOH|2023-2032
Public Health, Solid Waste Management & Sanitation||||900000.0|GRZ|District-wide|District-wide|MOH|2023-2032
Public Health, Solid Waste Management & Sanitation||||24800.0|GRZ|District-wide|District-wide|MOH|2023-2032
Education||Sample Referral||182800.0|GRZ, DONER AND CDF|District-wide|District-wide|MOH|2023-2032
Education||Attending meetings and symposium||184000.0|GRZ, DONER AND CDF|District-wide|All wards|MOH|2023-2032
Education||Holding meeting for 60 CBVs||436800.0|GRZ, DONER AND CDF|District-wide|All wards|MOH|2023-2032
Education||Holding lab staff meeting for 60 staff||109200.0|GRZ, DONER AND CDF|District-wide|All wards|MOH|2023-2032
Education||Child survival development||4916051.76|GRZ, DONER AND CDF|District-wide|District-wide|MOH|2023-2032
Education||Disease prevention and control.||129300.0|GRZ, DONOR and CDF.|Mufulira.|District-wide|MOH.|2023-2032
Education||Procure equipment||900000.0|GRZ, DONER AND CDF|District-wide|District-wide|MOH|2023-2032
Education||Quality assurance and quality improvement||825000.0|GRZ, DONER AND CDF|District-wide|District-wide|MOH|2023-2032
Education||Technical support supervision||24800.0|GRZ, DONER AND CDF|District-wide|District-wide|MOH|2023-2032
Public Health, Solid Waste Management & Sanitation||Disease prevention and control||190000.0|GRZ, DONER AND CDF|District-wide|District-wide|MOH|2023-2032
Public Health, Solid Waste Management & Sanitation||Disease prevention and control||950000.0|GRZ, DONER AND CDF|District-wide|District-wide|MOH|2023-2032
Public Health, Solid Waste Management & Sanitation||Family Planning||95000.0|GRZ, DONER AND CDF|District-wide|District-wide|MOH|2023-2032
Education||Epidemic Preparedne ss and Control||60000.0|GRZ, DONER AND CDF|District-wide|District-wide|MOH|2023-2032
Education||Health Education and Promotion||190000.0|GRZ, DONER AND CDF|District-wide|District-wide|MOH|2023-2032
Education||Disease prevention and control.||450300.0|GRZ, DONER AND CDF|Mufulir a|District-wide|MOH / local authority|2023-2032
Public Health, Solid Waste Management & Sanitation||To reduce malnutrition case incidence from 2.4 per 1000 population in 2022 to 0.3 per 1000 population by the year 2031.through involvement of the community||150000.0|GRZ, DONER AND CDF|District-wide|District-wide|MOH / local authority|2023-2032
Public Health, Solid Waste Management & Sanitation||Increase access to health services for the vulnerable population, especially people leaving with disabilities, adolescents and women||2400000.0|GRZ, DONER AND CDF|District-wide|District-wide|MOH|2023-2032
