Ward_Name|Challenges|Solutions|Sector|Constituency
Bwananyina|Lack of a Water|Drilling of Boleholes||
Chachacha|Poor Road Network|Rehabi litation of Roads||
Kamuchanga|Poor Road|Rehabilitation of Roads||
Ward 6|Network|Drilling of Water in||
Mutundu|Lack of Clean|Drilling of Boreholes||
David Lunda|Poor Road Network|Rehabilitation of Roads||
Kasempa|Poor Road|Rehabilitation of roads||
Hanky Kalanga|Poorroad|Rehabilitation of the road||
Kawama West|Poor road|Rehabilitation of the road||
Kansuswa|Poor road|Rehabilitation of Roads.||
