Constituency|Ward_Name|Number_of_Households|Total_Population|Male_Population|Female_Population|Poverty_Level_Status
Unspecified|Mufulira District|30065|200182|Unspecified|Unspecified|Unspecified
Unspecified|Kankoyo Constituency|8193|38835|Unspecified|Unspecified|Unspecified
Kankoyo|John Kampengele|1126|5396|Unspecified|Unspecified|Unspecified
Kankoyo|Buntungwa|787|4816|Unspecified|Unspecified|Unspecified
Kankoyo|Kangwa Nsuluka|249|4934|Unspecified|Unspecified|Unspecified
Kankoyo|Luansobe|1333|5643|Unspecified|Unspecified|Unspecified
Kankoyo|Butondo|1324|3179|Unspecified|Unspecified|Unspecified
Kankoyo|Kwacha|860|3871|Unspecified|Unspecified|Unspecified
Kankoyo|Fibusa|1029|5353|Unspecified|Unspecified|Unspecified
Kankoyo|Mpelembe|1485|5643|Unspecified|Unspecified|Unspecified
Unspecified|Kantanshi Constituency|10117|55728|Unspecified|Unspecified|Unspecified
Kantanshi|Minambe|712|5198|Unspecified|Unspecified|Unspecified
Kantanshi|Murundu|1521|7401|Unspecified|Unspecified|Unspecified
Kantanshi|Maina Soko|979|3922|Unspecified|Unspecified|Unspecified
Kantanshi|Bwafwano|761|4364|Unspecified|Unspecified|Unspecified
