Sector|Main_Objective|Specific_Objective_or_Program|Project_Description|Cost_ZMW|Proposed_Source_of_Funds|Location|Ward|Responsible_Agency|Implementation_Period
Water and Sanitation|Unspecified|To increase number of water points in peri urban areas in the next ten years|Unspecified|150000000.00|Unspecified|Mufulira|All wards|Water needs assessments, Aquifer exploration and mapping|2023-2032
Water and Sanitation|Unspecified|To increase water storage|Unspecified|50500.00|Unspecified|Mufulira|Kafue|Dams’ assessments, plan and design|2023-2032
Water and Sanitation|Unspecified|To reduce vandalism of water points and network|Unspecified|50000.00|Unspecified|Mufulira|All peri urban wards in all the 3|Hold quarterly community sensitization meetings|2023-2032
Water and Sanitation|Unspecified|CLTS|MDGI|122545.50|Unspecified|Mufulira|Kangwa Nsuluka, Luansobe & Bwananyina|Unspecified|2023-2032
Water and Sanitation|Unspecified|CLTS|MDGI|179124.00|Unspecified|Mufulira|Kangwa Nsuluka, Luansobe & Bwananyina|Unspecified|2023-2032
Water and Sanitation|Unspecified|CLTS|MDGI|142560.00|Unspecified|Mufulira|Kangwa Nsuluka, Luansobe & Bwananyina|Unspecified|2023-2032
Water and Sanitation|Unspecified|CLTS|MDGI|384975.00|Unspecified|Mufulira|Mutundu, Mainasoko, Bwafwano & Murundu|Unspecified|2023-2032
Water and Sanitation|Unspecified|Quality water monitoring from boreholes|RWSSP|198000.00|Unspecified|Mufulira|Luansobe, Kangwa Nsuluka, Kalukanya, Kamuchanga , Murundu and Mokambo|Unspecified|2023-2032
Water and Sanitation|Unspecified|Commemora tion of World Hand Washing Day|RWSSP|225000.00|Unspecified|Mufulira|Bwananyina|Unspecified|2023-2032
Water and Sanitation|Unspecified|Commemora tion of World Toilet Day|RWSSP|225000.00|Unspecified|Mufulira|Kangwa Nsuluka|Unspecified|2023-2032
Water and Sanitation|Unspecified|Commemora tion World Water Day|RWSSP|225000.00|Unspecified|Mufulira|Town Centre|Unspecified|2023-2032
Water and Sanitation|Unspecified|Unspecified|Unspecified|15000.00|GRZ/Donors|Butondo, Kafue and Kangwena|District-wide|Unspecified|2023-2032
Water and Sanitation|Unspecified|comments|Unspecified|Unspecified|cost (ZMK)|District-wide|District-wide|Unspecified|2023-2032
Water and Sanitation|Unspecified|1. Enhance constant monitoring and control framework for residual chlorine 2. Operationali|Unspecified|2500000.00|1. In house 2. European Investment bank 3. Agency Française de Development (AFD).|District-wide|District-wide|Unspecified|2023-2032
Water and Sanitation|Unspecified|Engaging SMEs to apply for CDF Loans and Empowerments|Unspecified|Unspecified|Local Authority, CEEC and MSME|District-wide|District-wide|Unspecified|2023-2032
Mining, Commerce, Trade & Industrial Development|Unspecified|Solar Energy use demonstrations, Exhibitions, Awareness campaigns and Promotions|Unspecified|10000000.00|Ministry of Energy, MLGRD and CDF|District-wide|District-wide|Unspecified|2023-2032
Public Health, Solid Waste Management & Sanitation|Unspecified|Maternal Healthcar e|Unspecified|119424.00|GRZ, DONER AND CDF|District-wide|District-wide|MOH|2023-2032
Public Health, Solid Waste Management & Sanitation|Unspecified|strengthe n public health|Unspecified|66200.00|GRZ|District-wide|District-wide|MOH|2023-2032
Public Health, Solid Waste Management & Sanitation|Unspecified|Unspecified|Unspecified|66200.00|GRZ|District-wide|District-wide|MOH|2023-2032
Public Health, Solid Waste Management & Sanitation|Unspecified|Unspecified|Unspecified|60250.00|GRZ|District-wide|District-wide|MOH|2023-2032
Public Health, Solid Waste Management & Sanitation|Unspecified|equipment and transport procurement and maintenance|Unspecified|825000.00|GRZ|District-wide|District-wide|MOH|2023-2032
Public Health, Solid Waste Management & Sanitation|Unspecified|Unspecified|Unspecified|900000.00|GRZ|District-wide|District-wide|MOH|2023-2032
Public Health, Solid Waste Management & Sanitation|Unspecified|Unspecified|Unspecified|24800.00|GRZ|District-wide|District-wide|MOH|2023-2032
Education|Unspecified|Sample Referral|Unspecified|182800.00|GRZ, DONER AND CDF|District-wide|District-wide|Unspecified|2023-2032
Education|Unspecified|Attending meetings and symposium|Unspecified|184000.00|GRZ, DONER AND CDF|District-wide|All wards|MOH|2023-2032
Education|Unspecified|Holding meeting for 60 CBVs|Unspecified|436800.00|GRZ, DONER AND CDF|District-wide|All wards|MOH|2023-2032
Education|Unspecified|Holding lab staff meeting for 60 staff|Unspecified|109200.00|GRZ, DONER AND CDF|District-wide|All wards|MOH|2023-2032
Education|Unspecified|Child survival development|Unspecified|Unspecified|GRZ, DONER AND CDF|District-wide|District-wide|MOH|2023-2032
Education|Unspecified|Disease prevention and control.|Unspecified|129300.00|GRZ, DONOR and CDF.|Mufulira.|District-wide|MOH.|2023-2032
Education|Unspecified|Procure equipment|Unspecified|900000.00|Unspecified|District-wide|District-wide|MOH|2023-2032
Education|Unspecified|Quality assurance and quality improvement|Unspecified|825000.00|Unspecified|District-wide|District-wide|MOH|2023-2032
Education|Unspecified|Technical support supervision|Unspecified|24800.00|Unspecified|District-wide|District-wide|MOH|2023-2032
Public Health, Solid Waste Management & Sanitation|Unspecified|Disease prevention and control|Unspecified|190000.00|GRZ, DONER AND CDF|District-wide|District-wide|Unspecified|2023-2032
Public Health, Solid Waste Management & Sanitation|Unspecified|Disease prevention and control|Unspecified|950000.00|GRZ, DONER AND CDF|District-wide|District-wide|Unspecified|2023-2032
Public Health, Solid Waste Management & Sanitation|Unspecified|Family Planning|Unspecified|95000.00|GRZ, DONER AND CDF|District-wide|District-wide|Unspecified|2023-2032
Education|Unspecified|Epidemic Preparedne ss and Control|Unspecified|60000.00|GRZ, DONER AND CDF|District-wide|District-wide|Unspecified|2023-2032
Education|Unspecified|Health Education and Promotion|Unspecified|190000.00|GRZ, DONER AND CDF|District-wide|District-wide|Unspecified|2023-2032
Education|Unspecified|Disease prevention and control.|Unspecified|450300.00|GRZ, DONER AND CDF|Mufulir a|District-wide|MOH / local authority|2023-2032
Public Health, Solid Waste Management & Sanitation|Unspecified|To reduce malnutrition case incidence from 2.4 per 1000 population in 2022 to 0.3 per 1000 population by the year 2031.through involvement of the community|Unspecified|150000.00|GRZ, DONER AND CDF|District-wide|District-wide|MOH / local authority|2023-2032
Public Health, Solid Waste Management & Sanitation|Unspecified|Increase access to health services for the vulnerable population, especially people leaving with disabilities, adolescents and women|Unspecified|2400000.00|GRZ, DONER AND CDF|District-wide|District-wide|Unspecified|2023-2032
Education|Unspecified|Early Childhood Education|Unspecified|200000.00|Unspecified|District-wide|District-wide|Ministry of Education|2023-2032
Education|Unspecified|Stakeholder involvement|Unspecified|100000.00|Local government and Rural Development|District-wide|District-wide|Unspecified|2023-2032
Sports, Youth Recreation & Culture|Unspecified|Unspecified|To involve stakeholder s|2500000.00|MMC, MLG|Mufulira/Kit we Road and some major local routes|District-wide|MMC DHSS, RTSA, TRAFFIC (ZP), Bus operators, Bus drivers.|2023-2032
Sports, Youth Recreation & Culture|Unspecified|To engage PPP project|Creatio n and rehabil itation of sports and recreat ion|5000000.00|Ministry of Local Governm ent and NGOs PPP|Kamuch anga center, Chibolya , Kadeco centre|Kam ucha nga, Bunt ungw a, Kans uswa|Local Government, Ministry of Community Development, ZESCO, MWSCo|2023-2032
Sports, Youth Recreation & Culture|Unspecified|Establish new libraries|Constr uction and|5000000.00|MMC, NGO,|Topshops, Ndeke, Kwacha,|David Kaunda, Kwacha,|MMC, ZESCO, MULONGA|2023-2032
Forestry, Environment & Natural Resources|Unspecified|Rehabilit ation of parks and gardens|Vegetat ion control, landsca ping, plantin g of trees|75000.00|MLG, MLNR, MMC, NGO|District-wide|Mufu lira Distri ct|MMC, ZESCO, MULONGA, DHSS, NGO|2023-2032
Education|Unspecified|Formulate a development plan|Unspecified|300000.00|MCDSS , World Bank, GIZ, ADB|District-wide|-|MCDSS, MoGE, MoA, MoG, World Bank, GIZ, ADB|2023-2032
Education|Unspecified|Creation of Community Resource Centers|Unspecified|5000000.00|MCDSS , MLGH MoG, MoGE, GIZ, NGOs|District-wide|Bwananyi na Minambe Murundu Mutundu|MCDSS, MoG, MoGE, Dept of Works & Supply, GIZ, NGO|2023-2032
Agriculture, Livestock, Veterinary & Fisheries|Unspecified|Provision of more agricultural inputs & alternative livelihoods to poor and vulnerable households|Unspecified|35000000.00|MCDSS, ADB, NGOs|District-wide|Bwananyi na Minambe Murundu Mutundu Kangwa Nsuluka|MCDSS, Min. of Liv & Fisheries MoA, NGOs|2023-2032
Agriculture, Livestock, Veterinary & Fisheries|Unspecified|Train Food Security Pack beneficiaries|Unspecified|10000000.00|MCDSS, Min. of Agric, ADB, NGOs|District-wide|Bwananyi na Minambe Murundu Mutundu Kangwa Nsuluka|MCDSS, Min. of Agric Min. of Liv & Fisheries, NGOs|2023-2032
Agriculture, Livestock, Veterinary & Fisheries|Unspecified|Equipment & Furniture development|Unspecified|5000000.00|MCDSS, MoGE, NGOs UNESC O|District-wide|Bwananyi na Minambe Murundu Mutundu Kangwa Nsuluka|MCDSS, MoGE, NGOs, UNESCO|2023-2032
Agriculture, Livestock, Veterinary & Fisheries|Unspecified|Secure Teaching Materials|Unspecified|1000000.00|MCDSS, MoGE, NGOs,|District-wide|Bwananyi na|MCDSS, MoGE,|2023-2032
Agriculture, Livestock, Veterinary & Fisheries|Unspecified|Unspecified|Unspecified|1300000.00|MCDSS, World Bank, GIZ|District-wide|District-wide|MCDSS, World Bank, GIZ|2023-2032
