Ward_Name|Challenges|Solutions|Sector|Constituency
B wananyina| Lack of a Water| Drilling of Boleholes||Unspecified
C hachacha|Poor Road Network| R e h a b i litation of Roads||Unspecified
K amuchanga| Poor Road| Rehabilitation of Roads||Unspecified
Ward 6|Network| Drilling of Water in||Unspecified
M utundu| Lack of Clean| Drilling of Boreholes||Unspecified
D avid Lunda|Poor Road Network| Rehabilitation of Roads||Unspecified
K asempa| Poor Road| Rehabilitation of roads||Unspecified
H anky Kalanga| P o o r r o a d| Rehabilitation of the road||Unspecified
K awama West| Poor road| Rehabilitation of the road||Unspecified
Kansuswa| Poor road| Rehabilitation of Roads.||Unspecified
