year|page|table_number|row_number|source_title|source_url|table_column_1|table_column_2|table_column_3|table_column_4|table_column_5|table_column_6|table_column_7|table_column_8
2023|2|1|1|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|CODE|REVENUE DESCRIPTION|APPROVED BUDGET 2022|||REVISED BUDGET 2023||BUDGET ESTIMATE 2024
2023|2|1|2|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|01|Local taxes/rates||||||
2023|2|1|3|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|001|Residential|7,730,999|||8,364,941||8,975,582 8,671,504 32,695,660
2023|2|1|4|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|002|Industrial/Commercial|7,469,086|||8,081,551||
2023|2|1|5|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|003|Mining/Plant|28,161,976|||30,471,258||
2023|2|1|6|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf||SubItem Total||43,362,061||46,917,750||50,342,746
2023|2|1|7|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|001|Personal levy|190,005|||205,585||220,593
2023|2|1|8|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf||SubItem Total||190,005||205,585||220,593
2023|2|1|9|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|CODE|REVENUE DESCRIPTION|APPROVED BUDGET 2022|||REVISED BUDGET 2023||BUDGET ESTIMATE 2024
2023|2|1|10|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|02|Fees and Charges||||||
2023|2|1|11|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|001|Consent fees|49,000|||53,018||56,888 34,481 491,678 640,284 19,375 643,297 296,033 129,566 17,299 699,379 813 1,122,540 40,653 527,041 48,587 63,274 4,644 51,316 15,813 199,690 32,043 116,099 198,529 179,372 204,566 592,104 14,280 5,480,097
2023|2|1|12|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|002|Survey fees|29,700|||32,135||
2023|2|1|13|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|003|Building inspection-fees|423,500|||458,227||
2023|2|1|14|Approved Budget 2023|https://www.mufuliracouncil.gov.zm/wp-content/uploads/2025/12/Approved-Budget-2023.pdf|004|Plan scrutiny fee|551,500|||596,723||
